sample,trt_weeks,tle_cm,tle,Treatment,Weeks
HA-7-4-TM,HA3,0.4,4,HA,3
HA-7-5-TM,HA3,0.3,3,HA,3
HA-7-6-TM,HA3,0.6,6,HA,3
HA-7-6-TX,HA3,0.5,5,HA,3
HA-7-1-T1,HA3,0.4,4,HA,3
LC-7-3-T2,HC3,0.3,3,HC,3
HC-7-1-T1,HC3,0.5,5,HC,3
HC-7-2-T2,HC3,0.4,4,HC,3
HC-7-3-T0,HC3,0.3,3,HC,3
LN-7-3-T2,HN3,0.3,3,HN,3
HN-7-1-T3,HN3,0.4,4,HN,3
HN-7-2-T2,HN3,0.6,6,HN,3
HN-7-3-T1,HN3,0.3,3,HN,3
LP-7-3-T1,HP3,0.3,3,HP,3
HP-7-1-T1,HP3,0.5,5,HP,3
HP-7-2-T1,HP3,0.5,5,HP,3
HP-7-3-T1,HP3,0.4,4,HP,3
HP-7-3-T2,HP3,0.4,4,HP,3
MA-7-4-TM,LA3,0.6,6,LA,3
MA-7-5-TM,LA3,0.5,5,LA,3
MA-7-6-TM,LA3,0.5,5,LA,3
MA-7-6-TX,LA3,0.5,5,LA,3
MA-7-1-T4,LA3,0.6,6,LA,3
LC-7-2-T1,LC3,0.3,3,LC,3
LC-7-2-T2,LC3,0.5,5,LC,3
MC-7-1-T1,LC3,0.3,3,LC,3
MC-7-2-T1,LC3,0.6,6,LC,3
MC-7-2-T2,LC3,0.3,3,LC,3
MC-7-3-T1,LC3,0.6,6,LC,3
LN-7-2-T1,LN3,0.5,5,LN,3
LN-7-2-T3,LN3,0.6,6,LN,3
MN-7-1-T2,LN3,0.4,4,LN,3
MN-7-1-T3,LN3,0.4,4,LN,3
LP-7-2-T1,LP3,0.2,2,LP,3
MP-7-1-T1,LP3,0.4,4,LP,3
MP-7-1-T2,LP3,0.5,5,LP,3
MP-7-2-T1,LP3,0.3,3,LP,3
MP-7-3-T1,LP3,0.5,5,LP,3
Ctrl-7-5-TM,NT3,0.6,6,NT,3
Ctrl-7-6-TM,NT3,0.5,5,NT,3
Ctrl-7-6-TX,NT3,0.4,4,NT,3
LP-7-1-T1,NT3,0.3,3,NT,3
LP-7-1-T2,NT3,0.4,4,NT,3
Ctrl-7-2-T0,NT3,0.4,4,NT,3
Ctrl-7-3-T1,NT3,0.3,3,NT,3
Ctrl-7-4-T4,NT3,0.4,4,NT,3
HA-7-4-TE,HA6,1.1,11,HA,6
HA-7-4-TX,HA6,1.1,11,HA,6
HA-7-5-TE,HA6,1.1,11,HA,6
HA-7-5-TX,HA6,0.7,7,HA,6
HA-7-6-TE,HA6,0.6,6,HA,6
HA-7-1-T2,HA6,1,10,HA,6
HA-7-1-T4,HA6,0.9,9,HA,6
LC-7-3-T3,HC6,0.7,7,HC,6
HC-7-1-T2,HC6,1,10,HC,6
HC-7-1-T4,HC6,1.1,11,HC,6
HC-7-2-T3,HC6,0.8,8,HC,6
HC-7-2-T4,HC6,0.8,8,HC,6
LN-7-3-T4,HN6,0.6,6,HN,6
HN-7-1-T4,HN6,0.5,5,HN,6
HN-7-2-T1,HN6,0.5,5,HN,6
HN-7-2-T3,HN6,0.4,4,HN,6
HN-7-2-T4,HN6,0.6,6,HN,6
HN-7-3-T2,HN6,0.7,7,HN,6
LP-7-3-T4,HP6,0.4,4,HP,6
HP-7-1-T2,HP6,1.4,14,HP,6
HP-7-1-T3,HP6,0.9,9,HP,6
HP-7-1-T4,HP6,0.8,8,HP,6
HP-7-2-T0,HP6,1.3,13,HP,6
HP-7-2-T2,HP6,1,10,HP,6
HP-7-3-T3,HP6,0.7,7,HP,6
HP-7-3-T4,HP6,0.9,9,HP,6
MA-7-4-TE,LA6,1,10,LA,6
MA-7-5-TE,LA6,0.7,7,LA,6
MA-7-5-TX,LA6,1.1,11,LA,6
MA-7-6-TE,LA6,1.2,12,LA,6
MA-7-3-T2,LA6,1,10,LA,6
LC-7-2-T3,LC6,1.3,13,LC,6
LC-7-2-T4,LC6,0.7,7,LC,6
MC-7-1-T3,LC6,0.9,9,LC,6
MC-7-1-T4,LC6,1,10,LC,6
MC-7-2-T3,LC6,1.1,11,LC,6
MC-7-2-T4,LC6,0.7,7,LC,6
MC-7-3-T3,LC6,0.8,8,LC,6
MC-7-3-T4,LC6,0.9,9,LC,6
LN-7-2-T2,LN6,0.7,7,LN,6
LN-7-2-T4,LN6,0.8,8,LN,6
MN-7-1-T4,LN6,0.5,5,LN,6
MN-7-2-T3,LN6,0.7,7,LN,6
MN-7-2-T4,LN6,0.5,5,LN,6
MP-7-1-T3,LP6,0.7,7,LP,6
MP-7-1-T4,LP6,0.9,9,LP,6
MP-7-2-T2,LP6,0.8,8,LP,6
MP-7-2-T4,LP6,1,10,LP,6
MP-7-3-T2,LP6,1.2,12,LP,6
MP-7-3-T3,LP6,1.3,13,LP,6
Ctrl-7-5-TE,NT6,0.7,7,NT,6
Ctrl-7-6-TE,NT6,0.8,8,NT,6
LA-7-1-T4,NT6,1,10,NT,6
LP-7-1-T3,NT6,1,10,NT,6
LP-7-1-T4,NT6,0.9,9,NT,6
LC-7-1-T4,NT6,0.7,7,NT,6
Ctrl-7-1-T3,NT6,1.3,13,NT,6
Ctrl-7-2-T3,NT6,1.1,11,NT,6
Ctrl-7-3-T2,NT6,0.9,9,NT,6
Ctrl-7-3-T3,NT6,0.9,9,NT,6
Ctrl-7-3-T4,NT6,1.1,11,NT,6